recommended,overall,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,Couple Leisure,Family Leisure,Solo Leisure,Economy Class,First Class,Premium Economy
0,2.0,4.0,2.0,3.0,3.0,4.0,1.0,False,False,True,True,False,False
0,5.0,2.0,4.0,5.0,3.0,2.0,3.0,False,False,True,False,False,False
1,8.0,4.0,5.0,5.0,3.0,3.0,5.0,False,False,True,True,False,False
0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,False,False,True,True,False,False
1,9.0,4.0,5.0,4.0,4.0,4.0,5.0,False,False,True,True,False,False
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,True,False,False
1,6.0,3.0,4.0,5.0,3.0,1.0,4.0,False,False,False,False,False,False
0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,False,False,True,True,False,False
0,1.0,3.0,1.0,3.0,2.8,1.0,1.0,False,False,True,True,False,False
1,6.0,4.0,3.0,4.0,5.0,5.0,4.0,False,False,False,True,False,False
1,10.0,5.0,5.0,5.0,5.0,4.0,4.0,False,False,True,True,False,False
0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,False,False,True,False,False,False
0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,True,False,False,True,False,False
0,2.0,3.0,1.0,1.0,1.8,2.0,2.0,False,False,True,False,False,False
0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,True,False,False,True,False,False
0,6.0,4.0,3.0,3.0,5.0,3.0,4.0,False,True,False,True,False,False
0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,False,False,True,False,False,False
0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,False,False,False,True,False,False
1,8.0,4.0,3.0,4.0,4.0,4.0,5.0,False,False,True,True,False,False
0,4.0,2.0,3.0,5.0,4.0,2.0,3.0,False,False,True,True,False,False
1,9.0,5.0,5.0,5.0,3.4,5.0,5.0,True,False,False,True,False,False
1,10.0,5.0,5.0,5.0,4.4,5.0,5.0,True,False,False,True,False,False
1,8.0,2.0,4.0,5.0,5.0,5.0,4.0,True,False,False,True,False,False
1,9.0,3.0,5.0,5.0,5.0,5.0,5.0,True,False,False,True,False,False
1,8.0,4.0,4.0,4.0,5.0,4.0,5.0,False,False,True,True,False,False
0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,False,False,True,False,False,False
0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,False,False,True,True,False,False
1,5.0,3.0,2.0,3.0,3.0,2.0,3.0,False,False,True,True,False,False
0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,False,False,True,True,False,False
0,2.0,2.0,3.0,3.0,2.2,2.0,1.0,False,False,True,True,False,False
0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,False,False,False,True,False,False
0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,True,False,False,True,False,False
0,1.0,2.4,2.4,3.0,2.2,1.0,1.0,False,False,True,True,False,False
0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,False,False,False,False,False,False
0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,False,False,True,True,False,False
0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,False,True,False,True,False,False
0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,False,False,False,True,False,False
0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,False,False,True,False,False,False
0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,False,False,False,True,False,False
0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,True,False,False,False,False,False
1,8.0,4.0,5.0,5.0,4.0,3.0,5.0,True,False,False,True,False,False
0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,True,False,False,True,False,False
0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,False,False,False,True,False,False
0,2.0,2.0,2.0,3.0,1.6,1.0,2.0,False,True,False,True,False,False
0,1.0,2.0,2.0,1.4,1.2,1.0,1.0,False,False,True,True,False,False
0,3.0,2.0,4.0,3.0,4.0,2.0,1.0,False,False,True,True,False,False
0,7.0,4.0,4.0,2.0,1.0,5.0,3.0,True,False,False,True,False,False
1,10.0,5.0,5.0,5.0,5.0,5.0,5.0,True,False,False,True,False,False
1,10.0,5.0,5.0,5.0,5.0,4.0,5.0,False,False,True,True,False,False
1,7.0,3.0,5.0,5.0,4.0,5.0,4.0,False,False,False,True,False,False
0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,False,False,False,False,False,False
1,8.0,4.0,4.0,4.0,4.0,4.0,4.0,False,False,False,True,False,False
0,3.0,2.0,2.0,2.0,1.6,1.0,2.0,False,False,True,True,False,False
0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,False,False,False,True,False,False
1,6.0,3.0,4.0,4.0,3.8,3.0,3.0,False,False,False,True,False,False
1,10.0,4.0,5.0,5.0,5.0,5.0,5.0,False,False,False,False,False,False
1,6.0,2.0,4.0,2.0,2.0,2.0,3.0,False,False,False,True,False,False
1,4.0,2.0,3.0,3.0,2.4,3.0,3.0,False,False,False,True,False,False
1,8.0,3.0,4.0,4.0,2.0,4.0,4.0,False,False,False,True,False,False
0,1.0,2.0,3.0,2.6,1.4,1.0,3.0,False,False,True,True,False,False
0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,False,False,True,True,False,False
0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,False,False,False,False,False,False
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,True,False,False,False
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,False,True,False,True,False,False
1,8.0,4.0,4.0,4.0,3.6,4.0,4.0,True,False,False,True,False,False
0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,False,True,False,True,False,False
0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,False,False,True,True,False,False
1,8.0,5.0,5.0,5.0,3.0,4.0,3.0,False,False,True,True,False,False
1,2.0,5.0,5.0,4.0,4.0,4.0,2.0,False,False,True,True,False,False
0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,False,True,False,True,False,False
0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,False,False,True,True,False,False
0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,False,False,False,True,False,False
0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,False,True,False,True,False,False
0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,True,False,False,True,False,False
0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,False,True,False,True,False,False
1,10.0,5.0,5.0,5.0,4.0,5.0,5.0,False,True,False,False,False,False
0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,False,False,True,False,False,False
0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,False,True,False,True,False,False
0,6.0,5.0,2.0,1.0,4.0,4.0,3.0,False,False,True,False,False,False
0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,False,False,False,True,False,False
0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,False,True,False,True,False,False
0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,True,False,False,True,False,False
0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,False,False,True,True,False,False
0,5.0,4.0,5.0,4.0,3.0,2.0,3.0,False,False,False,False,False,False
0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,False,False,True,True,False,False
1,8.0,5.0,5.0,5.0,5.0,3.0,5.0,False,False,False,False,False,False
1,9.0,5.0,5.0,5.0,3.4,5.0,5.0,False,False,True,True,False,False
0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,False,False,True,True,False,False
0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,False,False,True,True,False,False
0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,False,False,True,True,False,False
1,3.0,3.0,4.0,3.0,1.0,3.0,4.0,False,False,False,True,False,False
0,3.0,2.0,3.0,3.0,5.0,1.0,2.0,True,False,False,True,False,False
1,8.0,4.0,3.0,5.0,5.0,3.0,5.0,True,False,False,True,False,False
0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,False,True,False,True,False,False
1,6.0,5.0,4.0,5.0,3.0,1.0,2.0,True,False,False,False,False,False
0,3.0,4.0,1.0,1.0,5.0,2.0,3.0,False,False,True,True,False,False
0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,False,False,True,True,False,False
1,8.0,4.0,5.0,5.0,5.0,4.0,5.0,False,False,True,True,False,False
0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,False,False,False,True,False,False
1,10.0,5.0,5.0,5.0,4.0,5.0,5.0,False,False,True,True,False,False
0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,False,False,True,True,False,False
0,2.0,3.0,2.2,2.0,2.4,1.0,1.0,False,False,False,True,False,False
1,8.0,4.0,5.0,5.0,4.0,3.0,5.0,False,False,True,True,False,False
0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,False,True,False,True,False,False
0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,False,False,False,True,False,False
0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,False,False,True,True,False,False
1,7.0,4.0,5.0,5.0,5.0,2.0,5.0,False,False,True,False,False,False
1,10.0,5.0,5.0,5.0,4.4,5.0,5.0,False,False,True,True,False,False
1,9.0,5.0,5.0,4.0,3.0,5.0,5.0,False,False,True,False,False,False
0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,False,True,False,True,False,False
0,3.0,2.0,2.0,4.0,3.0,1.0,3.0,False,False,True,True,False,False
1,7.0,3.0,3.0,3.0,5.0,3.0,4.0,True,False,False,True,False,False
1,9.0,4.0,5.0,4.0,3.6,5.0,5.0,False,False,True,False,False,False
0,3.0,3.0,3.0,1.8,2.0,2.0,2.0,True,False,False,True,False,False
1,9.0,4.0,4.0,5.0,4.0,3.0,4.0,False,False,False,False,False,False
0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,False,False,True,True,False,False
1,9.0,4.0,5.0,4.0,5.0,5.0,4.0,True,False,False,True,False,False
1,9.0,4.0,5.0,5.0,4.0,5.0,4.0,False,False,True,True,False,False
1,9.0,3.0,5.0,5.0,5.0,4.0,4.0,True,False,False,True,False,False
0,5.0,4.0,5.0,4.0,5.0,1.0,4.0,False,False,False,True,False,False
0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,False,False,True,True,False,False
0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,False,False,False,True,False,False
1,9.0,5.0,5.0,4.0,4.4,3.0,4.0,True,False,False,True,False,False
0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,False,False,False,False,False,False
0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,True,False,False,True,False,False
0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,False,False,False,True,False,False
1,9.0,5.0,5.0,4.0,5.0,4.0,5.0,True,False,False,True,False,False
1,9.0,4.0,4.0,4.0,4.0,3.0,5.0,True,False,False,False,False,False
0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,True,False,False,True,False,False
0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,True,False,False,True,False,False
1,8.0,3.0,4.0,3.0,4.0,3.0,4.0,False,True,False,True,False,False
1,9.0,4.0,3.0,3.0,3.0,4.0,4.0,False,True,False,True,False,False
1,7.0,4.0,4.0,4.0,3.0,4.0,3.0,False,True,False,False,False,False
0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,True,False,False,True,False,False
0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,False,False,False,False,False,False
0,10.0,5.0,5.0,5.0,4.4,5.0,5.0,False,True,False,True,False,False
1,10.0,4.0,5.0,3.0,5.0,4.0,5.0,False,True,False,True,False,False
0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,False,False,True,True,False,False
1,7.0,3.0,4.0,4.0,4.0,3.0,4.0,False,False,True,False,False,False
0,3.0,4.0,1.0,3.0,5.0,1.0,3.0,False,True,False,True,False,False
1,7.0,3.0,5.0,2.0,4.0,1.0,4.0,False,False,True,False,False,False
1,5.0,4.0,3.0,4.0,3.0,1.0,3.0,True,False,False,False,False,False
1,6.0,3.0,4.0,5.0,3.0,4.0,3.0,False,False,True,False,False,False
1,10.0,5.0,5.0,5.0,5.0,5.0,5.0,False,False,True,True,False,False
0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,False,False,True,True,False,False
1,6.0,4.0,4.0,4.0,4.0,2.0,4.0,True,False,False,False,False,False
0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,False,False,True,True,False,False
0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,False,False,True,True,False,False
0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,False,False,True,True,False,False
0,2.0,3.0,3.0,2.2,2.2,1.0,1.0,True,False,False,True,False,False
1,7.0,4.0,3.0,4.0,3.0,3.0,5.0,True,False,False,True,False,False
0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,False,True,False,True,False,False
0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,False,False,True,True,False,False
0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,False,False,True,True,False,False
1,9.0,4.0,5.0,4.0,5.0,5.0,5.0,False,False,False,True,False,False
0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,False,False,True,True,False,False
0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,False,False,True,True,False,False
0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,False,False,True,True,False,False
1,9.0,4.0,4.0,4.0,4.0,4.0,4.0,False,False,True,True,False,False
0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,False,False,True,True,False,False
0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,False,False,True,True,False,False
0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,False,False,True,True,False,False
0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,False,True,False,True,False,False
0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,True,False,False,True,False,False
0,1.0,1.0,1.0,1.2,1.2,1.0,1.0,False,True,False,True,False,False
1,8.0,4.0,5.0,5.0,5.0,2.0,5.0,True,False,False,True,False,False
0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,False,False,True,True,False,False
0,7.0,5.0,4.0,1.0,5.0,5.0,3.0,False,True,False,True,False,False
0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,False,False,True,True,False,False
0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,False,False,False,True,False,False
0,1.0,1.0,2.0,2.0,1.2,1.0,1.0,False,False,True,True,False,False
0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,False,False,False,False,False,False
1,9.0,5.0,5.0,5.0,5.0,5.0,5.0,False,True,False,True,False,False
0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,True,False,False,False,False,False
0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,False,False,True,False,False,False
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,False,False,True
0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,True,False,False,True,False,False
1,9.0,4.0,5.0,5.0,5.0,3.0,5.0,False,False,False,False,False,False
0,2.0,4.0,1.0,2.0,5.0,3.0,2.0,False,False,False,True,False,False
0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,False,False,False,False,False,False
0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,False,False,True,True,False,False
1,10.0,3.0,5.0,5.0,5.0,5.0,5.0,False,False,True,True,False,False
0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,False,False,True,False,False,False
0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,False,False,True,True,False,False
1,8.0,4.0,5.0,3.0,5.0,5.0,5.0,True,False,False,True,False,False
0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,True,False,False,True,False,False
0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,False,True,False,True,False,False
0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,False,False,False,False,False,False
0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,True,False,False
0,2.0,1.0,5.0,4.0,3.0,1.0,3.0,False,False,True,True,False,False
0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,False,False,True,True,False,False
0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,False,False,False,True,False,False
0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,False,False,True,True,False,False
0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,False,False,True,True,False,False
1,9.0,5.0,5.0,5.0,5.0,4.0,5.0,False,False,True,True,False,False
0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,False,False,True,True,False,False
1,9.0,4.0,5.0,5.0,5.0,5.0,5.0,False,True,False,True,False,False
0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,False,False,True,True,False,False
1,10.0,5.0,5.0,5.0,4.4,5.0,5.0,False,False,True,False,False,False
0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,False,False,False,True,False,False
1,9.0,4.0,5.0,4.0,4.0,5.0,5.0,False,True,False,True,False,False
1,9.0,5.0,5.0,5.0,4.0,2.0,5.0,True,False,False,True,False,False
0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,False,False,False,True,False,False
0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,False,True,False,True,False,False
0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,False,False,True,True,False,False
1,10.0,5.0,5.0,5.0,3.0,4.0,5.0,False,False,False,True,False,False
0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,True,False,False,True,False,False
0,1.0,1.0,1.0,1.2,1.2,1.0,1.0,False,False,True,True,False,False
1,10.0,4.0,5.0,5.0,4.2,4.0,5.0,True,False,False,True,False,False
0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,False,True,False,True,False,False
1,9.0,4.0,5.0,5.0,4.0,5.0,5.0,False,False,True,True,False,False
0,2.0,2.0,2.0,2.2,1.8,1.0,1.0,False,True,False,True,False,False
0,2.0,2.0,2.0,1.0,1.2,1.0,1.0,False,True,False,True,False,False
0,1.0,4.0,3.0,3.0,4.0,1.0,2.0,False,False,True,True,False,False
1,9.0,4.0,4.0,4.0,4.0,4.0,5.0,True,False,False,True,False,False
0,5.0,3.0,5.0,2.0,4.0,3.0,2.0,False,False,False,False,False,False
0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,False,False,True,True,False,False
1,8.0,4.0,5.0,5.0,5.0,3.0,4.0,False,False,True,True,False,False
1,3.0,3.0,4.0,3.0,5.0,4.0,5.0,False,True,False,True,False,False
0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,False,False,True,True,False,False
1,8.0,5.0,4.0,5.0,4.4,4.0,5.0,False,False,True,True,False,False
0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,True,False,False,True,False,False
0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,False,True,False,True,False,False
0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,False,False,True,True,False,False
0,5.0,2.0,4.0,3.0,3.0,3.0,2.0,False,False,False,False,False,False
1,10.0,4.0,4.0,5.0,4.0,4.0,5.0,True,False,False,True,False,False
0,1.0,3.0,2.0,2.2,1.6,1.0,1.0,False,False,True,True,False,False
0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,False,False,True,True,False,False
0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,False,False,False,True,False,False
0,2.0,3.0,3.0,2.2,2.2,1.0,1.0,False,False,False,True,False,False
0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,False,False,False,True,False,False
0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,False,True,False,True,False,False
1,10.0,5.0,5.0,5.0,5.0,4.0,4.0,True,False,False,True,False,False
1,7.0,3.0,4.0,4.0,4.0,4.0,4.0,False,False,False,False,False,False
0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,False,True,False,True,False,False
0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,False,False,True,True,False,False
1,6.0,3.0,4.0,3.0,5.0,1.0,4.0,False,False,False,False,False,False
0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,False,False,True,True,False,False
0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,False,False,True,True,False,False
0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,True,False,False,True,False,False
0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,False,False,True,True,False,False
0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,False,False,True,True,False,False
0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,False,True,False,True,False,False
0,3.0,4.0,5.0,3.0,4.0,1.0,2.0,False,False,False,False,False,False
1,9.0,4.0,5.0,4.0,4.0,4.0,5.0,False,True,False,False,False,False
0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,False,False,True,False,False,False
1,9.0,5.0,4.0,5.0,5.0,4.0,5.0,False,False,False,False,False,False
1,8.0,3.0,3.0,5.0,5.0,5.0,3.0,True,False,False,True,False,False
0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,False,False,True,True,False,False
0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,False,False,False,False,False,False
1,8.0,5.0,4.0,4.0,4.0,5.0,5.0,False,False,True,False,False,False
1,9.0,5.0,4.0,4.0,4.0,5.0,5.0,False,False,True,True,False,False
0,1.0,3.0,1.0,2.0,1.2,1.0,1.0,False,False,True,False,False,False
0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,False,False,True,True,False,False
0,1.0,3.0,3.0,2.4,2.2,1.0,1.0,False,False,False,True,False,False
1,7.0,3.0,4.0,5.0,3.0,4.0,4.0,False,False,True,False,False,False
0,2.0,2.0,3.0,3.0,1.6,1.0,1.0,False,True,False,True,False,False
0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,False,False,True,True,False,False
1,9.0,4.0,4.0,4.0,4.0,3.0,3.0,False,False,True,False,False,False
1,8.0,4.0,4.0,4.0,4.0,4.0,4.0,False,False,True,True,False,False
0,3.0,5.0,4.0,5.0,5.0,1.0,3.0,False,True,False,False,False,False
1,9.0,5.0,5.0,5.0,5.0,3.0,5.0,False,True,False,True,False,False
0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,False,False,False,True,False,False
0,1.0,1.6,1.8,1.2,1.6,1.0,1.0,False,False,False,True,False,False
1,8.0,3.0,4.0,4.0,3.0,4.0,5.0,False,False,True,True,False,False
1,10.0,4.0,5.0,5.0,5.0,4.0,5.0,False,False,False,True,False,False
0,1.0,1.0,1.0,1.4,1.4,1.0,1.0,False,False,False,True,False,False
0,1.0,1.0,4.0,2.0,2.6,1.0,1.0,False,False,False,True,False,False
0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,False,False,False,True,False,False
1,7.0,4.0,5.0,5.0,3.8,2.0,4.0,False,False,True,True,False,False
1,9.0,5.0,5.0,5.0,4.0,3.0,5.0,True,False,False,False,False,False
0,5.0,4.0,4.0,4.0,3.0,1.0,3.0,True,False,False,False,False,False
1,8.0,3.0,4.0,5.0,5.0,5.0,4.0,False,False,True,True,False,False
0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,True,False,False,True,False,False
0,2.0,1.0,3.0,2.0,1.0,5.0,5.0,False,False,True,True,False,False
0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,False,False,True,False,False,False
1,10.0,4.0,5.0,5.0,5.0,5.0,5.0,False,False,True,False,False,False
1,9.0,4.0,5.0,5.0,4.0,3.0,5.0,False,False,False,True,False,False
0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,True,False,False,True,False,False
0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,False,False,False,False,False,False
1,10.0,4.0,5.0,5.0,5.0,4.0,5.0,True,False,False,True,False,False
1,7.0,4.0,3.0,3.0,1.0,4.0,5.0,False,True,False,False,False,False
1,9.0,4.0,4.0,4.0,3.6,5.0,3.0,False,False,True,True,False,False
1,10.0,4.0,5.0,5.0,5.0,4.0,5.0,False,True,False,True,False,False
0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,False,False,True,True,False,False
0,6.0,4.0,3.0,3.0,4.0,2.0,3.0,False,False,False,False,False,False
0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,False,True,False,True,False,False
0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,False,True,False,False,False,False
0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,True,False,False,True,False,False
0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,True,False,False,True,False,False
0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,False,False,True,True,False,False
0,1.0,2.0,3.0,2.0,1.6,1.0,1.0,False,True,False,True,False,False
0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,False,True,False,True,False,False
0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,False,False,False,True,False,False
1,9.0,4.0,5.0,5.0,3.0,4.0,5.0,False,False,False,False,False,False
1,9.0,5.0,5.0,5.0,4.0,4.0,4.0,False,False,False,False,False,False
1,9.0,4.0,5.0,5.0,5.0,4.0,5.0,True,False,False,True,False,False
0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,False,False,False,True,False,False
0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,True,False,False,True,False,False
1,8.0,4.0,4.0,2.0,4.0,4.0,4.0,True,False,False,False,False,False
0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,False,False,False,False,False,False
0,1.0,2.0,3.0,2.2,2.2,3.0,1.0,True,False,False,True,False,False
